symbol,total_market_cap_cr,price_band,last_updated
DCW.NS,1360.07,20,2026-08-06
DCXINDIA.NS,2036.48,20,2026-08-06
DENEERS.NS,171.27,20,2026-08-06
DECNGOLD.NS,,20,2026-08-06
DECCANCE.NS,790.23,20,2026-08-06
DEEPINDS.NS,3004.8,20,2026-08-06
DBEIL.NS,337.25,5,2026-08-06
DELAPLEX.NS,245.15,20,2026-08-06
DELHIVERY.NS,35025.79,No Band,2026-08-06
DELPHIFX.NS,167.76,5,2026-08-06
DELTACORP.NS,1683.21,20,2026-08-06
DELTAMAGNT.NS,63.22,20,2026-08-06
DEN.NS,1306.34,20,2026-08-06
DEVX.NS,322.6,20,2026-08-06
DEVIT.NS,150.49,20,2026-08-06
DEVYANI.NS,13640.01,20,2026-08-06
DBOL.NS,681.96,20,2026-08-06
DHANLAXMI.NS,89.8,20,2026-08-06
DHANUKA.NS,4500.18,20,2026-08-06
DHARMAJ.NS,880.59,20,2026-08-06
DHRUV.NS,48.36,5,2026-08-06
DTIL.NS,141.18,20,2026-08-06
DIAMINESQ.NS,250.1,20,2026-08-06
DTL.NS,153.9,20,2026-08-06
DGCONTENT.NS,140.99,20,2026-08-06
DIGIDRIVE.NS,69.4,20,2026-08-06
DIGIKORE.NS,632.46,20,2026-08-06
DIGISPICE.NS,393.63,5,2026-08-06
DIGJAMLMTD.NS,88.02,20,2026-08-06
DNAMEDIA.NS,33.31,20,2026-08-06
DBL.NS,6505.1,20,2026-08-06
DISAQ.NS,,20,2026-08-06
DISHTV.NS,532.12,5,2026-08-06
DCAL.NS,2918.99,20,2026-08-06
DHTL.NS,32.91,5,2026-08-06
DODLA.NS,6415.26,20,2026-08-06
DOLATALGO.NS,1209.3,20,2026-08-06
DOLLAR.NS,1454.48,20,2026-08-06
DOLLEX.NS,98.93,20,2026-08-06
DOLPHIN.NS,1514.97,20,2026-08-06
DONEAR.NS,440.02,20,2026-08-06
DRAGARWQ.NS,,20,2026-08-06
DRREDDY.NS,98492.97,No Band,2026-08-06
DRCSYSTEMS.NS,182.7,20,2026-08-06
DREAMFOLKS.NS,358.29,20,2026-08-06
DREDGECORP.NS,2790.76,20,2026-08-06
DRONE.NS,846.68,20,2026-08-06
DRSDILIP.NS,176.23,5,2026-08-06
KEEPLEARN.NS,27.25,20,2026-08-06
DUGLOBAL.NS,505.88,10,2026-08-06
DUCOL.NS,201.56,20,2026-08-06
DUCON.NS,98.45,20,2026-08-06
DURLAX.NS,140.23,20,2026-08-06
DWARKESH.NS,787.9,20,2026-08-06
DSSL.NS,1507.31,5,2026-08-06
DYNAMATECH.NS,6900.79,20,2026-08-06
EFACTOR.NS,277.47,20,2026-08-06
EASEMYTRIP.NS,2476.7,20,2026-08-06
ECOSMOBLTY.NS,776.28,5,2026-08-06
EFCIL.NS,2842.19,20,2026-08-06
EIHAHOTELS.NS,1927.41,20,2026-08-06
ELANTAS.NS,7411.59,20,2026-08-06
ELCIDIN.NS,,20,2026-08-06
ELDEHSG.NS,766.24,20,2026-08-06
ELECON.NS,9808.52,20,2026-08-06
EFORCE.NS,171.76,20,2026-08-06
ELECTCAST.NS,4405.8,20,2026-08-06
ELGIEQUIP.NS,18384.88,20,2026-08-06
ELIN.NS,502.06,20,2026-08-06
ELITECON.NS,,10,2026-08-06
ELPROINTL.NS,2958.26,10,2026-08-06
EMAMIREAL.NS,409.92,5,2026-08-06
EMKAY.NS,654.01,20,2026-08-06
EMKAYTOOLS.NS,943.29,20,2026-08-06
EMMBI.NS,167.58,5,2026-08-06
EMMVEE.NS,22293.51,10,2026-08-06
EMPOWER.NS,,5,2026-08-06
EMMIL.NS,391.33,20,2026-08-06
ENFUSE.NS,162.8,20,2026-08-06
ENGINERSIN.NS,12667.87,20,2026-08-06
ENSER.NS,1785.05,20,2026-08-06
ENIL.NS,510.12,20,2026-08-06
EPACKPEB.NS,2426.11,20,2026-08-06
ESABINDIA.NS,8907.94,20,2026-08-06
EASTSILK.NS,25.98,5,2026-08-06
ESSARSHPNG.NS,420.76,20,2026-08-06
ESFL.NS,386.87,10,2026-08-06
ESTER.NS,907.26,20,2026-08-06
EUREKAFORB.NS,8663.3,20,2026-08-06
EUROBOND.NS,403.49,20,2026-08-06
EUROPRATIK.NS,3126.3,20,2026-08-06
EUROTEXIND.NS,15.05,2,2026-08-06
EKC.NS,1253.81,20,2026-08-06
EXCELSOFT.NS,864.17,20,2026-08-06
EXPLEOSOL.NS,1243.36,20,2026-08-06
EXXARO.NS,283.66,20,2026-08-06
FACT.NS,52674.89,20,2026-08-06
FABTECH.NS,654.45,20,2026-08-06
FALCONTECH.NS,37.9,20,2026-08-06
FCSSOFT.NS,263.27,10,2026-08-06
FEDFINA.NS,5797.27,20,2026-08-06
FEDDERSHOL.NS,,20,2026-08-06
FELIX.NS,383.94,20,2026-08-06
FERMENTA.NS,,20,2026-08-06
FIDEL.NS,151.26,20,2026-08-06
FILATFASH.NS,150.01,5,2026-08-06
FINKURVE.NS,867.91,20,2026-08-06
FINCABLES.NS,15521.81,20,2026-08-06
FINPIPE.NS,10154.57,20,2026-08-06
FLAIR.NS,2631.2,10,2026-08-06
FLEXITUFF.NS,16.44,5,2026-08-06
FOCUS.NS,494.0,5,2026-08-06
FONEBOX.NS,202.38,5,2026-08-06
FORCEMOT.NS,22950.41,No Band,2026-08-06
FORTIS.NS,71709.7,No Band,2026-08-06
FRACTAL.NS,15396.04,20,2026-08-06
FRONTSP.NS,,20,2026-08-06
UTLSOLAR.NS,11611.63,10,2026-08-06
FELDVR.NS,126.05,5,2026-08-06
FEL.NS,18.78,2,2026-08-06
FLFL.NS,26.63,5,2026-08-06
FMNL.NS,61.82,5,2026-08-06
GMBREW.NS,2091.18,20,2026-08-06
GMDCLTD.NS,17815.95,20,2026-08-06
GNFC.NS,7437.4,20,2026-08-06
GRINFRA.NS,8551.21,20,2026-08-06
GSFC.NS,6223.42,20,2026-08-06
GATECH.NS,60.74,5,2026-08-06
GATECHDVR.NS,54.28,5,2026-08-06
GALLANTT.NS,13567.23,10,2026-08-06
GANESHCP.NS,707.75,20,2026-08-06
GGBL.NS,1195.16,20,2026-08-06
GANGAFORGE.NS,31.22,5,2026-08-06
GANGESSECU.NS,116.02,20,2026-08-06
GRSE.NS,29655.22,20,2026-08-06
GARUDA.NS,1613.25,20,2026-08-06
GATEWAY.NS,2881.45,20,2026-08-06
GAUDIUMIVF.NS,1151.2,2,2026-08-06
GAYAHWS.NS,46.01,20,2026-08-06
GVPIL.NS,5412.15,5,2026-08-06
GESHIP.NS,20490.3,20,2026-08-06
GVT&D.NS,114747.25,No Band,2026-08-06
GEEKAYWIRE.NS,252.83,20,2026-08-06
GEMAROMA.NS,932.9,20,2026-08-06
GICRE.NS,63412.79,20,2026-08-06
GENCON.NS,219.57,20,2026-08-06
GENSOL.NS,70.55,5,2026-08-06
GENUSPOWER.NS,8652.01,20,2026-08-06
GEOJITFSL.NS,2273.17,20,2026-08-06
GFLLIMITED.NS,496.63,20,2026-08-06
GHCL.NS,3931.49,20,2026-08-06
GICHSGFIN.NS,799.15,20,2026-08-06
GILLANDERS.NS,190.03,20,2026-08-06
GIRIRAJ.NS,861.62,5,2026-08-06
GKENERGY.NS,2811.45,10,2026-08-06
GKWLIMITED.NS,1002.37,20,2026-08-06
GLENMARK.NS,62081.35,No Band,2026-08-06
GLOBAL.NS,517.87,20,2026-08-06
GSLSU.NS,107.69,5,2026-08-06
GLOBALVECT.NS,209.83,20,2026-08-06
GLOBALE.NS,11.1,5,2026-08-06
GLOBECIVIL.NS,241.44,20,2026-08-06
GLOBE.NS,97.29,20,2026-08-06
GICL.NS,185.06,5,2026-08-06
GLOBUSSPR.NS,2554.64,20,2026-08-06
GLOTTIS.NS,617.81,5,2026-08-06
GMRP&UI.NS,7883.59,20,2026-08-06
EBGNG.NS,6219.33,10,2026-08-06
GODIGIT.NS,26163.32,20,2026-08-06
GOCOLORS.NS,1771.96,20,2026-08-06
GOACARBON.NS,339.0,20,2026-08-06
GODAVARIB.NS,1403.76,20,2026-08-06
GPIL.NS,15793.25,20,2026-08-06
GODFRYPHLP.NS,32325.66,No Band,2026-08-06
GODREJAGRO.NS,10951.05,20,2026-08-06
GOKULAGRO.NS,6261.15,20,2026-08-06
GOKUL.NS,385.39,20,2026-08-06
GOLDENTOBC.NS,45.09,5,2026-08-06
GOLDKART.NS,211.5,5,2026-08-06
GOLDSTAR.NS,297.27,5,2026-08-06
GOODYEAR.NS,1902.53,20,2026-08-06
GOPAL.NS,3237.6,10,2026-08-06
GOYALALUM.NS,92.78,20,2026-08-06
GOYALSALT.NS,312.54,20,2026-08-06
GPECO.NS,422.53,5,2026-08-06
GPTINFRA.NS,1485.04,20,2026-08-06
GRADIENTE.NS,93.74,5,2026-08-06
GRANDOAK.NS,,5,2026-08-06
GRAPHISAD.NS,97.6,5,2026-08-06
GRAPHITE.NS,12299.87,20,2026-08-06
GRAUWEIL.NS,3370.66,20,2026-08-06
GRAVISSHO.NS,,20,2026-08-06
GREENCHEF.NS,175.47,10,2026-08-06
GREENLAM.NS,6221.78,20,2026-08-06
GCSL.NS,1185.28,20,2026-08-06
BIRDYS.NS,37.5,5,2026-08-06
GRMOVER.NS,1870.62,20,2026-08-06
GROBTEA.NS,104.76,20,2026-08-06
GSPCROP.NS,2357.57,20,2026-08-06
GSS.NS,31.41,20,2026-08-06
GTL.NS,113.41,20,2026-08-06
GTLINFRA.NS,1575.52,20,2026-08-06
GTPL.NS,685.01,20,2026-08-06
GUJAPOLLO.NS,438.52,20,2026-08-06
