symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
INTELLECT.NS,727.0999755859375,749.0874938964844,731.5791625976562,730.612998046875,805.4533341471354,862.6637515258789,745.5231513443487,595.2000122070312,1244.5999755859375,False,False,False,False,False,False,False,False,False,-32.03470514060596,noise,95.78523443065416,False,False,False,False,,IT - Software,Computers - Software & Consulting,22.22222222222222,False,False
INTENTECH.NS,98.9000015258789,101.62083371480306,99.95583322313097,100.47040008544921,106.01586675008139,109.5108247756958,100.81122731666724,66.30000305175781,149.89999389648438,False,False,True,False,False,True,False,False,False,10.012878521384504,noise,28.962333412142407,False,False,False,False,,IT - Services,IT Enabled Services,72.67156862745098,True,False
INTERARCH.NS,1912.699951171875,1870.6583251953125,1822.3138902452256,1894.9580004882812,2016.2686678059895,2039.476968383789,1884.4042739190509,1600.0,2762.60009765625,False,False,False,False,True,False,False,True,False,-6.452123846513025,noise,30.239054349453156,False,False,False,False,,Construction,Civil Construction,55.59640522875817,False,False
INDIGO.NS,5315.2001953125,4983.2583414713545,4601.605550130208,4571.19,4756.372006835937,5000.244005126953,5070.478367879832,3895.199951171875,6232.5,True,False,False,False,True,True,True,True,False,-2.612357814031674,red,229.61103372939152,False,True,False,False,,Transport Services,Airline,60.82516339869281,False,False
INM.NS,179.0,165.65000025431314,168.1569446987576,168.86699981689452,214.2568330891927,315.6165414428711,168.72906858705625,150.0,689.0,False,False,False,False,True,False,False,True,False,-64.0195774183324,noise,30.959752321981426,False,False,False,False,,Consumer Durables,"Furniture, Home Furnishing",2.2058823529411766,False,False
IGIL.NS,350.29998779296875,358.4250005086263,356.55277676052515,356.1779992675781,334.27342712402344,337.631053314209,356.9748270421701,284.8031402273277,435.3585193465419,True,False,True,True,False,False,True,False,False,-0.001707491689484364,red,146.068569565532,False,False,False,False,,Commercial Services & Supplies,Diversified Commercial Services,63.643790849673195,False,False
INTLCONV.NS,80.9800033569336,81.66166687011719,80.49055565728082,79.99980010986329,80.37159993489583,84.65104103088379,81.91333537440308,60.0,114.54000091552734,False,False,False,False,True,True,False,False,False,-11.68601148874423,noise,63.975594227432794,False,False,False,False,,Industrial Manufacturing,Industrial Products,48.8562091503268,False,False
ISFT.NS,79.33999633789062,82.05666732788086,82.77027829488118,80.91000045776367,82.0020669555664,86.24235015869141,81.05413188127513,54.04999923706055,119.06999969482422,False,False,False,False,False,True,False,False,False,-28.225080802631076,noise,56.16928627234707,False,False,False,False,,Retailing,E-Retail/ E-Commerce,26.87908496732026,False,False
INVPRECQ.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,ppv,,False,True,True,False,,Industrial Products,Castings & Forgings,,False,False
INVENTURE.NS,0.9300000071525574,0.9550000031789144,0.965833337770568,0.978400000333786,1.070733331044515,1.1751500010490417,0.9521493595708481,0.8100000023841858,1.7799999713897705,False,False,False,False,False,False,False,False,False,-40.384612739438744,noise,81.4284938920765,False,False,False,False,,Capital Markets,Stockbroking & Allied,12.826797385620914,False,False
