symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,ff_pct,traded_value_cr,traded_volume,traded_val_pct_of_ff,_ff_mc_raw,liquidity_score
NMDC.NS,87.8499984741211,89.31083424886067,87.69194497002496,85.05880004882812,79.53917755126953,77.49154502868652,89.06978247009084,63.93605553096449,94.25,True,True,True,True,True,True,True,False,False,32.484339598414415,noise,65.4288016883984,False,85.86258032624815,True,True,,,,,,,
ADANIENSOL.NS,1367.9000244140625,1335.0249938964844,1263.4097256130642,1187.5210021972657,1047.6589998372397,992.7847509765625,1341.6240686728702,744.9000244140625,1463.6500244140625,True,True,True,True,True,True,True,True,False,49.48910361862675,green,102.5893252244203,False,90.3114186851211,True,True,,,,,,,
NESTLEIND.NS,1423.0999755859375,1448.3916625976562,1374.000003390842,1325.7800024414062,1289.8639827473958,1257.8711834716796,1433.686914618665,1078.874971449518,1498.0999755859375,True,True,True,True,True,True,True,False,False,21.840089177731326,noise,66.47359984957006,False,80.37567968363815,True,True,,,,,,,
GOKULAGRO.NS,221.38999938964844,235.37583287556967,221.3419443766276,208.60140014648437,187.70979949951172,184.8349747467041,231.66626126343584,119.20999908447266,249.9199981689453,True,True,True,True,True,True,True,False,False,75.40009289219935,dry,13.609025658708585,False,94.26594167078596,True,True,,,,,,,
APARINDS.NS,12782.0,12626.333333333334,11844.291666666666,11233.55,9659.806666666667,9353.3275,12595.833293829204,6801.0,13149.0,True,True,True,True,True,True,True,True,False,72.88794492373228,noise,58.12131760353127,False,94.01878398418191,True,True,,,,,,,
NLCINDIA.NS,344.6499938964844,341.7000020345052,311.2125015258789,296.95400146484377,267.08074432373047,262.0509825897217,344.19572969537535,216.33624791780156,387.79998779296875,True,True,True,True,True,True,True,True,False,46.16642381074749,noise,47.02331280170702,False,89.7676717745922,True,True,,,,,,,
AUBANK.NS,977.9000244140625,996.2750091552734,991.106947157118,964.1350024414063,956.3680004882813,900.6395010375977,985.6052504383211,679.861584541776,1079.550048828125,True,True,True,True,True,True,True,False,False,42.41541828064859,noise,66.41954122195523,False,88.68017795353435,True,True,,,,,,,
NATIONALUM.NS,409.25,403.0250015258789,412.6207529703776,402.80731689453125,335.28082173665365,300.1086734008789,405.26031018435003,168.71956225754178,442.9435720664075,True,True,True,True,True,True,True,True,False,138.86429992126205,noise,37.88801641437123,False,97.77558082056352,True,True,,,,,,,
LLOYDSME.NS,1737.300048828125,1718.4333394368489,1649.6583387586807,1529.5540063476562,1346.2580029296876,1345.1535021972657,1713.6514659009492,1042.9000244140625,1846.0,True,True,True,True,True,True,True,True,False,31.135783394656748,noise,56.12913098312846,False,85.12110726643598,True,True,,,,,,,
BHARATFORG.NS,1897.699951171875,1926.9583333333333,1858.1555616590713,1823.0500024414061,1594.0434749348958,1491.677996826172,1902.9650808964461,1099.2431646909151,2044.0,True,True,True,True,True,True,True,False,False,51.8084649706831,noise,47.55022675288833,False,90.85516559565002,True,True,,,,,,,
RPTECH.NS,545.5,528.3999989827474,470.0833333333333,435.8020001220703,377.6533331298828,358.4795782470703,529.5638968041001,274.03069500955513,560.0,True,True,True,True,True,True,True,True,False,79.90185530471092,noise,55.59004191404537,False,94.61196243203163,True,True,,,,,,,
WELCORP.NS,1277.5,1314.3416646321614,1166.518051147461,1067.0449963378906,903.8023327636719,896.1709997558594,1301.6553351456819,710.0,1377.4000244140625,True,True,True,True,True,True,True,False,False,65.63172687782024,red,281.89695870761227,False,93.03015323776569,True,True,,,,,,,
GLENMARK.NS,2259.10009765625,2338.6166788736978,2289.286126030816,2255.6100048828125,2060.587335611979,2047.1635571289062,2341.6102679854284,1366.6478144531218,2474.0,True,True,True,True,True,True,True,False,False,57.68287169615769,red,220.78450331911773,False,91.6955017301038,True,True,,,,,,,
SIEMENS.NS,3811.699951171875,3666.8916625976562,3604.0416734483506,3473.056005859375,3251.736004231771,3227.8235021972655,3686.717418420001,2826.0,3930.0,True,True,True,True,True,True,True,True,False,22.78379303820135,green,113.37313529338817,False,81.01828966880869,True,True,,,,,,,
